A!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!REFDES!FUNC_PRIM_FILE!COMP_PARENT_PPT!COMP_PARENT_PPT_PART!COMP_PARENT_PART_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!FUNC_GROUP!FUNC_ROOM!FUNC_TERM_IDENT!FUNC_CDS_FSP_INSTANCE_ID!FUNC_CDS_FSP_IS_FPGA!FUNC_CDS_FSP_UID!
J!C:/EDM/grey_matter_server/brain_board/output/brain_board/physical/brain_board.brd!Mon Mar  8 11:32:41 2021!-7425.00!-10499.00!32575.00!24501.00!0.01!mils!BRAIN_BOARD!48.700000 mil!12!UP TO DATE!
S!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231516\!NC7SZ125-202000060,SOT_5PIN,NCB!U33!ic.nc7sz125!!!NC7SZ125!!!F30!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231579\!NC7SZ125-202000060,SOT_5PIN,NCB!U36!ic.nc7sz125!!!NC7SZ125!!!F29!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231573\!TEST_TERM_BLK-202000015,TP55,TB!TP12!connector.test_term!!!TEST_TERM_BLK!!!F16!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231574\!TEST_TERM_BLK-202000015,TP55,TB!TP13!connector.test_term!!!TEST_TERM_BLK!!!F15!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231575\!TEST_TERM_BLK-202000015,TP55,TB!TP14!connector.test_term!!!TEST_TERM_BLK!!!F14!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231576\!TEST_TERM_BLK-202000017,TP55,TB!TP15!connector.test_term!!!TEST_TERM_BLK!!!F13!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231558\!RES-202000040,R0603,RES,VISHAYB!R282!discrete.resistor!!!RES!!!F135!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646732\@worklib.usb_block(tbl_1):\I167231534\!RES-202000050,R0402,RES,VISHAYB!R116!discrete.resistor!!!RES!!!F311!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646732\@worklib.usb_block(tbl_1):\I167231526\!RES-202000050,R0402,RES,VISHAYB!R85!discrete.resistor!!!RES!!!F278!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646732\@worklib.usb_block(tbl_1):\I167231531\!RES-202000050,R0402,RES,VISHAYB!R101!discrete.resistor!!!RES!!!F312!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231603\!RES-202000050,R0402,RES,VISHAYB!R219!discrete.resistor!!!RES!!!F310!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231604\!RES-202000050,R0402,RES,VISHAYB!R220!discrete.resistor!!!RES!!!F309!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231523\!RES-202000050,R0402,RES,VISHAYB!R221!discrete.resistor!!!RES!!!F308!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231524\!RES-202000050,R0402,RES,VISHAYB!R222!discrete.resistor!!!RES!!!F307!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231605\!RES-202000050,R0402,RES,VISHAYB!R238!discrete.resistor!!!RES!!!F306!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231606\!RES-202000050,R0402,RES,VISHAYB!R239!discrete.resistor!!!RES!!!F305!!!!!!!
