A!NET_NAME!REFDES!PIN_NUMBER!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!PIN_CDS_PINID!PIN_TERMINATION!PIN_TERM_IDENT!PIN_NET_SHORT!PIN_XNET_PINS!
J!C:/EDM/grey_matter_server/brain_board/output/brain_board/physical/brain_board.brd!Mon Mar  8 11:32:41 2021!-7425.00!-10499.00!32575.00!24501.00!0.01!mils!BRAIN_BOARD!48.700000 mil!12!UP TO DATE!
S!N23601474!U33!2!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231516\!NC7SZ125-202000060,SOT_5PIN,NCB!!!F30!\M167231604\!!!!!
S!GND!U33!3!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231516\!NC7SZ125-202000060,SOT_5PIN,NCB!!!F30!\M167231603\!!!!!
S!PS_POR_L!U33!1!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231516\!NC7SZ125-202000060,SOT_5PIN,NCB!!!F30!\M167231605\!!!!!
S!3P3V!U33!5!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231516\!NC7SZ125-202000060,SOT_5PIN,NCB!!!F30!\M167231602\!!!!!
S!BOARD_RESET_L!U33!4!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231516\!NC7SZ125-202000060,SOT_5PIN,NCB!!!F30!\M167231601\!!!!!
S!N25176046!U36!2!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231579\!NC7SZ125-202000060,SOT_5PIN,NCB!!!F29!\M167231763\!!!!!
S!GND!U36!3!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231579\!NC7SZ125-202000060,SOT_5PIN,NCB!!!F29!\M167231762\!!!!!
S!5P0V!U36!1!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231579\!NC7SZ125-202000060,SOT_5PIN,NCB!!!F29!\M167231764\!!!!!
S!3P3V!U36!5!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231579\!NC7SZ125-202000060,SOT_5PIN,NCB!!!F29!\M167231761\!!!!!
S!TURBO_MODE!U36!4!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231579\!NC7SZ125-202000060,SOT_5PIN,NCB!!!F29!\M167231760\!!!!!
S!GND!TP12!1!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231573\!TEST_TERM_BLK-202000015,TP55,TB!!!F16!\M167231722\!!!!!
S!1P0V!TP13!1!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231574\!TEST_TERM_BLK-202000015,TP55,TB!!!F15!\M167231723\!!!!!
S!GND!TP14!1!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231575\!TEST_TERM_BLK-202000015,TP55,TB!!!F14!\M167231724\!!!!!
S!SYS_5P0V!TP15!1!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231576\!TEST_TERM_BLK-202000017,TP55,TB!!!F13!\M167231725\!!!!!
S!1P8V_FILTER!R282!1!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231558\!RES-202000040,R0603,RES,VISHAYB!!!F135!\M167231692\!!!!!
S!N25830704!R282!2!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231558\!RES-202000040,R0603,RES,VISHAYB!!!F135!\M167231693\!!!!!
S!P0_USB_ID_X!R116!1!@worklib.brain_board(tbl_1):\I1039646732\@worklib.usb_block(tbl_1):\I167231534\!RES-202000050,R0402,RES,VISHAYB!!!F311!\M167231622\!!!!!
S!GND!R116!2!@worklib.brain_board(tbl_1):\I1039646732\@worklib.usb_block(tbl_1):\I167231534\!RES-202000050,R0402,RES,VISHAYB!!!F311!\M167231623\!!!!!
S!P0_USB_ID_X!R85!1!@worklib.brain_board(tbl_1):\I1039646732\@worklib.usb_block(tbl_1):\I167231526\!RES-202000050,R0402,RES,VISHAYB!!!F278!\M167231606\!!!!!
S!P0_USB_ID!R85!2!@worklib.brain_board(tbl_1):\I1039646732\@worklib.usb_block(tbl_1):\I167231526\!RES-202000050,R0402,RES,VISHAYB!!!F278!\M167231607\!!!!!
S!N21123919!R101!1!@worklib.brain_board(tbl_1):\I1039646732\@worklib.usb_block(tbl_1):\I167231531\!RES-202000050,R0402,RES,VISHAYB!!!F312!\M167231616\!!!!1,3!
S!N21123446!R101!2!@worklib.brain_board(tbl_1):\I1039646732\@worklib.usb_block(tbl_1):\I167231531\!RES-202000050,R0402,RES,VISHAYB!!!F312!\M167231617\!!!!2,3!
S!GND!R219!1!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231603\!RES-202000050,R0402,RES,VISHAYB!!!F310!\M167231879\!!!!1!
S!N25329408!R219!2!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231603\!RES-202000050,R0402,RES,VISHAYB!!!F310!\M167231880\!!!!2!
S!1P8V!R220!1!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231604\!RES-202000050,R0402,RES,VISHAYB!!!F309!\M167231881\!!!!1!
S!N25329410!R220!2!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231604\!RES-202000050,R0402,RES,VISHAYB!!!F309!\M167231882\!!!!2!
S!GND!R221!1!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231523\!RES-202000050,R0402,RES,VISHAYB!!!F308!\M167231557\!!!!1!
S!N26009321!R221!2!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231523\!RES-202000050,R0402,RES,VISHAYB!!!F308!\M167231558\!!!!2!
S!1P8V!R222!1!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231524\!RES-202000050,R0402,RES,VISHAYB!!!F307!\M167231559\!!!!1!
S!N26009323!R222!2!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231524\!RES-202000050,R0402,RES,VISHAYB!!!F307!\M167231560\!!!!2!
S!N26021053!R238!1!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231605\!RES-202000050,R0402,RES,VISHAYB!!!F306!\M167231883\!!!!1!
S!1P8V!R238!2!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231605\!RES-202000050,R0402,RES,VISHAYB!!!F306!\M167231884\!!!!2!
S!N26025511!R239!1!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231606\!RES-202000050,R0402,RES,VISHAYB!!!F305!\M167231885\!!!!1!
S!GND!R239!2!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231606\!RES-202000050,R0402,RES,VISHAYB!!!F305!\M167231886\!!!!2!
S!N22939905!R286!1!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231562\!RES-202000050,R0402,RES,VISHAYB!!!F304!\M167231700\!!!!1!
S!1P0V!R286!2!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231562\!RES-202000050,R0402,RES,VISHAYB!!!F304!\M167231701\!!!!2!
S!1P8V_FILTER!R287!1!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231563\!RES-202000050,R0402,RES,VISHAYB!!!F303!\M167231702\!!!!1!
S!1P8V!R287!2!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231563\!RES-202000050,R0402,RES,VISHAYB!!!F303!\M167231703\!!!!2!
S!GND!R289!1!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231572\!RES-202000050,R0402,RES,VISHAYB!!!F302!\M167231721\!!!!1!
S!N23150334!R289!2!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231572\!RES-202000050,R0402,RES,VISHAYB!!!F302!\M167231722\!!!!2!
S!1P8V!R290!1!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231573\!RES-202000050,R0402,RES,VISHAYB!!!F301!\M167231723\!!!!1!
S!N23150336!R290!2!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231573\!RES-202000050,R0402,RES,VISHAYB!!!F301!\M167231724\!!!!2!
S!GND!R291!1!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231574\!RES-202000050,R0402,RES,VISHAYB!!!F300!\M167231725\!!!!1!
S!N23155371!R291!2!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231574\!RES-202000050,R0402,RES,VISHAYB!!!F300!\M167231726\!!!!2!
S!1P8V!R292!1!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231575\!RES-202000050,R0402,RES,VISHAYB!!!F299!\M167231727\!!!!1!
S!N23155373!R292!2!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231575\!RES-202000050,R0402,RES,VISHAYB!!!F299!\M167231728\!!!!2!
S!N22979034!R293!1!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231565\!RES-202000050,R0402,RES,VISHAYB!!!F298!\M167231706\!!!!1!
S!3P3V!R293!2!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231565\!RES-202000050,R0402,RES,VISHAYB!!!F298!\M167231707\!!!!2!
S!N20899839!R296!1!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231501\!RES-202000050,R0402,RES,VISHAYB!!!F297!\M167231513\!!!!1,3!
